2019-10-22 09:03:21.614 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@45a6d9a9: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2019-10-22 09:04:00.340 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.340 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.340 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.340 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.340 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.340 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.341 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.342 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.343 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.343 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.344 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.344 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.344 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.344 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.344 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.344 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.344 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.345 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.345 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.345 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.345 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.345 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.345 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.346 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.347 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.347 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.347 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.347 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.347 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.347 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.347 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
